from;to
FI067;FI086
FI067;FI087
FI067;FI089
FI067;FI090
FI067;FI091
FI067;FI092
FI067;FI095
FI067;FI096
FI067;FI099
FI067;FI100
FI067;FI108
FI067;FI115
FI067;FI116
FI067;FI117
FI067;FI118
FI067;FI121
FI067;FI126
FI067;FI133
FI067;FI134
FI067;FI135
FI067;FI137
FI067;FI139
FI067;FI140
FI067;FI141
FI068;FI001
FI068;FI002
FI068;FI010
FI068;FI011
FI068;FI015
FI068;FI016
FI068;FI017
FI068;FI021
FI068;FI023
FI068;FI027
FI068;FI032
FI068;FI038
FI068;FI043
FI068;FI055
FI068;FI061
FI068;FI062
FI068;FI065
FI068;FI066
FI068;FI067
FI068;FI068
FI068;FI070
FI068;FI074
FI068;FI079
FI068;FI091
FI068;FI093
FI068;FI095
FI068;FI096
FI068;FI123
FI068;FI013
FI068;FI142
FI070;FI001
FI070;FI002
FI070;FI003
FI070;FI006
FI070;FI007
FI070;FI008
FI070;FI009
FI070;FI010
FI070;FI011
FI070;FI015
FI070;FI016
FI070;FI017
FI070;FI018
FI070;FI020
FI070;FI021
FI070;FI022
FI070;FI030
FI070;FI032
FI070;FI033
FI070;FI037
FI070;FI038
FI070;FI039
FI070;FI045
FI070;FI047
FI070;FI052
FI070;FI054
FI070;FI056
FI070;FI063
FI070;FI064
FI070;FI065
FI070;FI066
FI070;FI067
FI070;FI068
FI070;FI070
FI070;FI072
FI070;FI074
FI070;FI076
FI070;FI078
FI070;FI079
FI070;FI080
FI070;FI081
FI070;FI082
FI070;FI083
FI070;FI085
FI070;FI086
FI070;FI087
FI070;FI089
FI070;FI093
FI070;FI094
FI070;FI095
FI070;FI096
FI070;FI097
FI070;FI098
FI070;FI101
FI070;FI102
FI070;FI103
FI070;FI106
FI070;FI109
FI070;FI118
FI070;FI119
FI070;FI121
FI070;FI122
FI070;FI013
FI070;FI126
FI070;FI127
FI070;FI130
FI070;FI133
FI070;FI135
FI070;FI137
FI070;FI139
FI070;FI140
FI070;FI141
FI070;FI142
FI071;FI008
FI071;FI010
FI071;FI016
FI071;FI033
FI071;FI037
FI071;FI038
FI071;FI043
FI071;FI045
FI071;FI064
FI071;FI071
FI071;FI074
FI071;FI079
FI071;FI086
FI071;FI087
FI071;FI095
FI071;FI096
FI071;FI097
FI071;FI099
FI071;FI100
FI071;FI013
FI072;FI054
FI072;FI070
FI072;FI140
FI074;FI001
FI074;FI002
FI074;FI003
FI074;FI008
FI074;FI009
FI074;FI010
FI074;FI011
FI074;FI012
FI074;FI015
FI074;FI017
FI074;FI021
FI074;FI025
FI074;FI030
FI074;FI032
FI074;FI037
FI074;FI040
FI074;FI043
FI074;FI045
FI074;FI048
FI074;FI050
FI074;FI051
FI074;FI052
FI074;FI055
FI074;FI056
FI074;FI057
FI074;FI062
FI074;FI065
FI074;FI066
FI074;FI068
FI074;FI070
FI074;FI072
FI074;FI075
FI074;FI076
FI074;FI079
FI074;FI083
FI074;FI084
FI074;FI086
FI074;FI087
FI074;FI093
FI074;FI094
FI074;FI096
FI074;FI099
FI074;FI100
FI074;FI101
FI074;FI103
FI074;FI112
FI074;FI123
FI074;FI013
FI074;FI127
FI074;FI128
FI074;FI132
FI074;FI142
FI075;FI002
FI075;FI008
FI075;FI010
FI075;FI011
FI075;FI012
FI075;FI015
FI075;FI017
FI075;FI025
FI075;FI032
FI075;FI040
FI075;FI041
FI075;FI043
FI075;FI050
FI075;FI051
FI075;FI055
FI075;FI057
FI075;FI063
FI075;FI064
FI075;FI068
FI075;FI071
FI075;FI074
FI075;FI075
FI075;FI077
FI075;FI078
FI075;FI079
FI075;FI081
